央视,#genre#
CCTV-1HD,https://iplive-try.wasu.tv/11078.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643171858140-2-0050646e5c7933bdc45871c5d629d453
CCTV-1HD,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-1HD,http://39.134.64.179:6610/PLTV/88888888/224/3221226016/index.m3u8?
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV-1HD,http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1HD,http://39.135.140.227:6610/PLTV/88888888/224/3221226221/2/index.m3u8?fmt=ts2hls
CCTV-1HD,http://39.135.140.227:6610/PLTV/88888888/224/3221226225/2/index.m3u8?fmt=ts2hls
CCTV-1HD,http://39.135.140.227:6610/PLTV/88888888/224/3221225762/2/index.m3u8?fmt=ts2hls
CCTV-1HD,http://39.135.140.227:6610/PLTV/88888888/224/3221225918/2/index.m3u8?fmt=ts2hls
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225727/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225757/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1HD,http://117.148.179.37/PLTV/88888888/224/3221229818/index.m3u8
CCTV-1HD,http://117.148.179.37/PLTV/88888888/224/3221229840/index.m3u8
CCTV-1HD,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.134.65.181/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.134.65.183/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228146/index.m3u8
CCTV-1HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228149/index.m3u8
CCTV-2HD,https://iplive-try.wasu.tv/11079.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643172588992-2-106ed245797cab5bf14790c11954fb7d
CCTV-2HD,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-2HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2HD,http://wtv.weetai.cn/iptv/2022/tyzb01.php?id=cctv2hd
CCTV-2HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2HD,http://39.135.55.7:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-2HD,http://111.20.41.250/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2HD,http://117.148.179.160/PLTV/88888888/224/3221232362/index.m3u8
CCTV-2HD,http://124.232.231.246:6610/000000001001/201500000129/index.m3u8?IASHttpSessionId=OTT&m3u8_level=2
CCTV-2HD,http://117.148.179.160/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2HD,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226703/index.m3u8
CCTV-2HD,http://39.135.129.164/PLTV/88888888/224/3221226116/1.m3u8
CCTV-2HD,http://39.135.129.164/PLTV/88888888/224/3221226468/1.m3u8
CCTV-2HD,http://183.207.248.71/cntv/live1/HD-8000k-1080P-cctv2/HD-8000k-1080P-cctv2
CCTV-2HD,http://39.134.39.38/PLTV/88888888/224/3221226220/index.m3u8
CCTV-2HD,http://39.135.129.166/PLTV/88888888/224/3221226116/1.m3u8
CCTV-2HD,http://39.134.19.135/PLTV/88888888/224/3221225831/1.m3u8
CCTV-2HD,http://39.135.129.162/PLTV/88888888/224/3221226417/1.m3u8
CCTV-3HD,http://39.134.62.211:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV-3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3HD,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3HD,http://cdn.teyond.cn/iptv/2022/tyzb01.php?id=CCTV3HD_7000
CCTV-3HD,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3HD,http://183.207.248.71/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ
CCTV-3HD,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3HD,http://39.135.140.227:6610/PLTV/88888888/224/3221225647/2/index.m3u8?fmt=ts2hls
CCTV-3HD,http://117.148.179.37/PLTV/88888888/224/3221229875/index.m3u8
CCTV-3HD,http://117.148.179.37/PLTV/88888888/224/3221229878/index.m3u8
CCTV-3HD,http://39.134.65.179/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://39.134.65.181/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228188/index.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227295/index.m3u8
CCTV-3HD,http://117.148.179.37/PLTV/88888888/224/3221230740/index.m3u8
CCTV-3HD,http://39.130.202.80:6610/gitv_live/iptv-cctv3-hd/chunklist.m3u8
CCTV-3HD,http://39.130.202.77:6610/gitv_live/iptv-cctv3-hd/chunklist.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227424/index.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227481/index.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227546/index.m3u8
CCTV-3HD,http://117.148.179.37/PLTV/88888888/224/3221228591/index.m3u8
CCTV-3HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227623/index.m3u8
CCTV-3HD,http://117.148.179.160/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3HD,http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/d1.m3u8
CCTV-3HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225677/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4HD,http://cdn.teyond.cn/iptv/2022/tyzb01.php?id=CCTV-4HD_7500
CCTV-4HD,http://111.20.33.93/PLTV/88888893/224/3221226223/index.m3u8
CCTV-4HD,http://223.110.243.230:80/PLTV/3/224/3221225534/index.m3u8
CCTV-4HD,http://183.207.248.71/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ
CCTV-4HD,http://223.110.254.137:6610/cntv/live1/cctv-4/cctv-4.m3u8
CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4HD,http://39.135.140.227:6610/PLTV/88888888/224/3221225621/2/index.m3u8?fmt=ts2hls
CCTV-4HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228156/index.m3u8
CCTV-4HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227549/index.m3u8
CCTV-4HD,http://221.179.136.134:443/PLTV/88888888/224/3221226470/1.m3u8
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225753/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225775/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4HD,http://39.135.129.164/PLTV/88888888/224/3221226636/1.m3u8
CCTV-4HD,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8
CCTV-4HD,http://39.135.129.166/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8
CCTV-4HD,http://39.135.129.166/PLTV/88888888/224/3221226636/1.m3u8
CCTV-4HD,http://39.135.129.162/PLTV/88888888/224/3221226114/1.m3u8
CCTV-4HD,http://39.135.129.162/PLTV/88888888/224/3221226432/1.m3u8
CCTV-5HD,http://39.134.62.211:6610/PLTV/88888888/224/3221226019/index.m3u8?
CCTV-5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233115/index.m3u8
CCTV-5HD,http://183.207.248.71/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ
CCTV-5HD,http://cdn.teyond.cn/iptv/2022/tyzb01.php?id=CCTV5HD_7000
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV-5HD,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225550/index.m3u8
CCTV-5HD,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225559/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8
CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225733/index.m3u8
CCTV-5HD,http://111.40.196.9/PLTV/88888888/224/3221225745/index.m3u8
CCTV-5HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228082/index.m3u8
CCTV-5HD,http://117.148.179.160/PLTV/88888888/224/3221232203/index.m3u8
CCTV-5HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227661/index.m3u8
CCTV-5HD,http://117.148.179.160/PLTV/88888888/224/3221232422/index.m3u8
CCTV-5HD,http://117.148.179.160/PLTV/88888888/224/3221232440/index.m3u8
CCTV-5HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228173/index.m3u8
CCTV-5HD,http://ott.js.chinamobile.com/PLTV/4/224/3221228179/index.m3u8
CCTV-5HD,http://ott.js.chinamobile.com/PLTV/4/224/3221227686/index.m3u8
CCTV-5HD,http://39.134.65.179/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5HD,http://39.134.65.181/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+HD,http://cdn.teyond.cn/iptv/2022/tyzb01.php?id=CCTV5plusHD_7000
CCTV-5+HD,http://183.207.248.71/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ
CCTV-5+HD,http://39.134.62.211:6610/PLTV/88888888/224/3221225603/index.m3u8?
CCTV-5+HD,http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV-5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+HD,http://111.40.196.9/PLTV/88888888/224/3221225767/index.m3u8
CCTV-5+HD,http://39.134.65.181/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.134.65.183/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://39.134.65.162/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+HD,http://124.232.231.246:6610/000000001001/201500000062/index.m3u8?IASHttpSessionId=OTT&m3u8_level=2
CCTV-5+HD,http://117.148.179.160/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+HD,http://117.148.179.160/PLTV/88888888/224/3221231535/index.m3u8
