吉林联通,#genre#
CCTV-1HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225620/10000100000000060000000014261464_0.smil
CCTV-2HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225799/10000100000000060000000014274939_0.smil
CCTV-3HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226127/10000100000000060000000015558809_0.smil
CCTV-5HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226129/10000100000000060000000015558810_0.smil
CCTV-5+HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225720/10000100000000060000000014868371_0.smil
CCTV-6HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226131/10000100000000060000000015558811_0.smil
CCTV-8HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226133/10000100000000060000000015558812_0.smil
CCTV-9HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225803/10000100000000060000000014274943_0.smil
CCTV-10HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225805/10000100000000060000000014274956_0.smil
CCTV-12HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225807/10000100000000060000000014274957_0.smil
CCTV-14HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225809/10000100000000060000000014274958_0.smil
CCTV-16HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226241/10000100000000060000000016498536_0.smil
CCTV16-4K,rtsp://139.215.98.88/PLTV/88888888/224/3221225902/10000100000000060000000016498622_0.smil
CCTV-17HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225801/10000100000000060000000014274940_0.smil
吉林卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225835/10000100000000060000000014698360_0.smil
北京卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225811/10000100000000060000000014274961_0.smil
天津卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225624/10000100000000060000000014261467_0.smil
河北卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226067/10000100000000060000000015417301_0.smil
辽宁卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226055/10000100000000060000000015417309_0.smil
黑龙江卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225817/10000100000000060000000014274982_0.smil
上海东方卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225786/10000100000000060000000014995744_0.smil
浙江卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226069/10000100000000060000000015417300_0.smil
江苏卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225873/10000100000000060000000014817978_0.smil
安徽卫视高HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226057/10000100000000060000000015417308_0.smil
福建东南卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225788/10000100000000060000000014995757_0.smil
江西卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226063/10000100000000060000000015417304_0.smil
山东卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225821/10000100000000060000000014274984_0.smil
河南卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226065/10000100000000060000000015417303_0.smil
湖北卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225823/10000100000000060000000014274985_0.smil
湖南卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225813/10000100000000060000000014274977_0.smil
广东卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225815/10000100000000060000000014274978_0.smil
深圳卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221225819/10000100000000060000000014274983_0.smil
重庆卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226059/10000100000000060000000015417306_0.smil
贵州卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226061/10000100000000060000000015417305_0.smil
四川卫视HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226073/10000100000000060000000015417297_0.smil
上海纪实HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226071/10000100000000060000000015417299_0.smil
金鹰纪实HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226053/10000100000000060000000015417310_0.smil
BTV纪实HD,rtsp://139.215.98.88/PLTV/88888888/224/3221226051/10000100000000060000000015417312_0.smil
中国教育电视台,rtsp://139.215.98.88/PLTV/88888888/224/3221225995/10000100000000060000000015014636_0.smil
中国交通频道,rtsp://139.215.98.88/PLTV/88888888/224/3221226195/10000100000000060000000015634735_0.smil
体育赛事,rtsp://139.215.98.88/PLTV/88888888/224/3221226199/10000100000000060000000015648527_0.smil?
休闲体育,rtsp://139.215.98.88/PLTV/88888888/224/3221225862/10000100000000060000000015632883_0.smil?
羽球精品赛事,rtsp://139.215.98.88/PLTV/88888888/224/3221225860/10000100000000060000000015632892_0.smil?
吉林卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225576/10000100000000060000000000029782_0.smil
吉视都市,rtsp://139.215.98.88/PLTV/88888888/224/3221225578/10000100000000060000000000029793_0.smil
吉视影视,rtsp://139.215.98.88/PLTV/88888888/224/3221225519/10000100000000060000000000030129_0.smil
吉视生活,rtsp://139.215.98.88/PLTV/88888888/224/3221225527/10000100000000060000000000030173_0.smil
